"id_curriculo";"codigo";"nome_matriz";"id_curso";"nome_curso";"semestre_conclusao_minimo";"semestre_conclusao_ideal";"semestre_conclusao_maximo";"meses_conclusao_minimo";"meses_conclusao_ideal";"meses_conclusao_maximo";"cr_total_minimo";"ch_total_minima";"ch_optativas_minima";"ch_complementar_minima";"max_eletivos";"ch_nao_atividade_obrigatoria";"cr_nao_atividade_obrigatorio";"ch_atividade_obrigatoria";"cr_minimo_semestre";"cr_ideal_semestre";"cr_maximo_semestre";"ch_minima_semestre";"ch_ideal_semestre";"ch_maxima_semestre";"periodo_entrada_vigor";"ano_entrada_vigor";"observacao";
"98189385";"02";"TEATRO - NATAL - M - LICENCIATURA";"2000158";"TEATRO";"8";"8";"12";"";"";"";"126";"3240";"510";"";"240";"1890";"126";"840";"4";"28";"32";"60";"";"";"1";"2014";"";
"510231325";"05B";"FARMÁCIA - NATAL - MT - FORMAÇÃO";"2000039";"FARMÁCIA";"9";"9";"14";"";"";"";"198";"4200";"360";"0";"240";"2970";"198";"870";"1";"98";"99";"15";"";"0";"1";"2011";"";
"115764587";"02";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"7";"7";"11";"";"";"";"26";"2400";"270";"120";"240";"2010";"26";"0";"4";"24";"32";"60";"";"0";"1";"2016";"";
"102187364";"01";"METEOROLOGIA - NATAL - T - BACHARELADO";"101644626";"METEOROLOGIA";"8";"8";"12";"";"";"";"156";"3300";"360";"180";"120";"2340";"156";"420";"4";"24";"26";"60";"";"0";"1";"2014";"";
"98187355";"02";"TEATRO - NATAL - M - LICENCIATURA";"2000158";"TEATRO";"8";"8";"12";"";"";"";"134";"3240";"510";"0";"240";"2010";"134";"720";"4";"28";"32";"60";"";"0";"1";"2014";"";
"119521179";"04";"LETRAS - LÍNGUA PORTUGUESA - NATAL - N";"118881115";"LETRAS - LÍNGUA PORTUGUESA";"10";"10";"15";"";"";"";"126";"2850";"360";"200";"240";"1890";"126";"400";"";"";"";"60";"";"0";"2";"2016";"";
"115274781";"02";"ENGENHARIA DE MATERIAIS - NATAL - T - FORMAÇÃO";"2000027";"ENGENHARIA DE MATERIAIS";"10";"10";"14";"";"";"";"80";"3680";"420";"190";"120";"2820";"80";"250";"4";"24";"32";"60";"";"0";"1";"2016";"";
"90181406";"MCFL1";"";"90156472";"MESTRADO EM CIÊNCIAS FLORESTAIS";"12";"24";"30";"12";"24";"30";"24";"360";"240";"";"0";"120";"8";"0";"2";"12";"24";"0";"";"";"1";"2012";"";
"103639959";"01B";"DANÇA - NATAL - N - LICENCIATURA";"7264330";"DANÇA";"8";"8";"12";"";"";"";"88";"2820";"780";"0";"240";"1320";"88";"720";"4";"16";"24";"60";"";"0";"1";"2014";"";
"98463213";"01B";"TURISMO - CURRAIS NOVOS - MT - BACHARELADO";"2000071";"TURISMO";"4";"8";"12";"";"";"";"152";"3110";"240";"0";"240";"2280";"152";"590";"4";"24";"36";"60";"";"540";"1";"2013";"";
"98776589";"04";"FISIOTERAPIA - NATAL - MT - FORMAÇÃO";"2000042";"FISIOTERAPIA";"10";"10";"15";"";"";"";"173";"4260";"450";"0";"240";"2595";"173";"1215";"4";"30";"42";"60";"";"0";"2";"2013";"";
"9463980";"04";"ENFERMAGEM - NATAL - MT - FORMAÇÃO";"2000023";"ENFERMAGEM";"9";"9";"12";"";"";"";"212";"4220";"120";"0";"240";"3180";"212";"920";"1";"98";"99";"15";"";"0";"1";"2009";"";
"86369001";"MSS1";"";"315741";"MESTRADO EM SERVIÇO SOCIAL";"12";"24";"30";"12";"24";"30";"20";"300";"120";"";"0";"180";"12";"0";"3";"12";"24";"1";"";"";"2";"2011";"";
"115802434";"02";"CIÊNCIAS E TECNOLOGIA - NATAL - MT - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"5";"7";"9";"";"";"";"30";"2400";"270";"120";"240";"2010";"30";"0";"4";"24";"32";"60";"";"0";"1";"2016";"";
"10340342";"01";"FARMÁCIA - NATAL - N - FORMAÇÃO";"2000039";"FARMÁCIA";"13";"13";"20";"";"";"";"198";"4200";"360";"0";"240";"2970";"198";"870";"1";"98";"99";"15";"";"0";"1";"2009";"";
"89352121";"04C";"ESTATÍSTICA - NATAL - M - FORMAÇÃO";"2000034";"ESTATÍSTICA";"8";"8";"16";"";"";"";"122";"3005";"780";"0";"240";"1830";"122";"395";"1";"26";"52";"15";"";"0";"1";"2012";"";
"139987";"01";"";"315759";"MESTRADO EM FILOSOFIA";"18";"24";"30";"18";"24";"30";"0";"0";"0";"";"240";"0";"0";"0";"1";"9";"18";"0";"0";"";"1";"2001";"";
"105512207";"04";"CIÊNCIAS CONTÁBEIS - NATAL - M - BACHARELADO";"2000011";"CIÊNCIAS CONTÁBEIS";"10";"10";"15";"";"";"";"160";"3000";"300";"160";"240";"2400";"160";"140";"4";"24";"28";"60";"";"0";"1";"2015";"";
"98275660";"04B";"GEOGRAFIA - NATAL - M - BACHARELADO";"2000043";"GEOGRAFIA";"8";"8";"12";"";"";"";"126";"2430";"240";"0";"240";"1890";"126";"300";"1";"98";"99";"60";"";"";"1";"2014";"";
"9510501";"01";"";"9513330";"MESTRADO EM ECOLOGIA";"12";"24";"36";"12";"24";"36";"0";"300";"0";"";"240";"300";"0";"0";"2";"12";"20";"0";"";"";"1";"2009";"";
"20503690";"04C";"PSICOLOGIA - NATAL - MT - FORMAÇÃO";"2000066";"PSICOLOGIA";"10";"10";"16";"";"";"";"44";"4085";"300";"200";"240";"2295";"44";"1290";"1";"98";"99";"15";"";"0";"1";"2010";"";
"508377771";"02";"ENGENHARIA TÊXTIL - NATAL - TN - FORMAÇÃO";"2000033";"ENGENHARIA TÊXTIL";"10";"10";"16";"";"";"";"201";"3790";"450";"0";"240";"3015";"201";"325";"4";"25";"32";"30";"";"0";"1";"2011";"";
"506167921";"01B";"QUÍMICA - NATAL - M - BACHARELADO";"2000067";"QUÍMICA";"8";"8";"12";"";"";"";"157";"2845";"180";"0";"240";"2355";"157";"310";"12";"26";"30";"180";"";"0";"1";"2011";"";
"119513876";"01";"COMUNICAÇÃO SOCIAL - AUDIOVISUAL - NATAL - T";"119512361";"COMUNICAÇÃO SOCIAL - AUDIOVISUAL";"8";"8";"12";"";"";"";"124";"2700";"300";"200";"240";"1860";"124";"340";"";"";"";"300";"";"0";"1";"2017";"";
"21631770";"1";"";"2163123";"CLINICA MEDICA";"10";"28";"32";"";"";"";"0";"5388";"0";"";"240";"0";"0";"5388";"0";"0";"0";"";"";"";"1";"2010";"";
"89572913";"NCR0001";"";"5036042";"RESIDÊNCIA MÉDICA EM NEUROCIRURGIA";"58";"60";"72";"";"";"";"0";"12775";"100";"";"0";"0";"0";"12675";"60";"66";"86";"1440";"";"";"1";"2006";"";
"140037";"04";"";"315728";"DOUTORADO EM FÍSICA";"24";"48";"54";"24";"48";"54";"40";"600";"360";"";"240";"240";"16";"0";"4";"48";"54";"0";"0";"";"1";"2005";"";
"90456597";"OTG0101";"";"5036046";"RESIDÊNCIA MÉDICA EM OTORRINOLARINGOLOGIA";"12";"12";"12";"";"";"";"0";"10";"0";"";"0";"0";"0";"10";"";"";"";"0";"";"";"1";"2012";"";
"90518856";"CIG0505";"";"5036028";"RESIDÊNCIA MÉDICA EM CIRURGIA GERAL";"12";"12";"12";"";"";"";"0";"2258";"0";"";"0";"0";"0";"1908";"";"";"";"0";"";"";"1";"2011";"";
"18068142";"02";"";"17565631";"DOUTORADO EM NEUROCIÊNCIAS";"24";"48";"60";"24";"48";"60";"12";"360";"180";"";"240";"180";"0";"0";"1";"12";"24";"1";"";"";"2";"2009";"";
"121562069";"EUR2017";"";"19106930";"MESTRADO EM ESTUDOS URBANOS E REGIONAIS";"12";"24";"30";"12";"24";"30";"32";"480";"180";"";"0";"300";"20";"0";"";"";"";"0";"";"";"1";"2017";"";
"509141880";"01";"HISTÓRIA - - NATAL - I - LICENCIATURA";"50913238";"HISTÓRIA -";"8";"8";"12";"";"";"";"129";"2835";"300";"0";"240";"1935";"129";"600";"8";"22";"25";"60";"";"680";"1";"2014";"";
"507863460";"01A";"EDUCAÇÃO FÍSICA - NATAL - MT - LICENCIATURA";"111635041";"EDUCAÇÃO FÍSICA";"8";"8";"12";"";"";"";"106";"3035";"780";"0";"240";"1590";"106";"665";"4";"24";"32";"60";"";"0";"1";"2011";"";
"101669220";"02";"TECNOLOGIA DA INFORMAÇÃO - NATAL - N - BACHARELADO";"92127264";"TECNOLOGIA DA INFORMAÇÃO";"6";"9";"13";"";"";"";"0";"2600";"300";"140";"120";"2160";"0";"0";"2";"20";"32";"30";"";"0";"1";"2014";"";
"9510504";"04";"";"9300592";"DOUTORADO EM ECOLOGIA";"36";"48";"60";"36";"48";"60";"15";"525";"225";"";"240";"300";"0";"0";"2";"12";"24";"0";"";"";"1";"2009";"";
"510230600";"02B";"BIBLIOTECONOMIA - NATAL - T - BACHARELADO";"2000006";"BIBLIOTECONOMIA";"8";"8";"12";"";"";"";"152";"2880";"240";"";"240";"2280";"152";"360";"1";"98";"99";"15";"";"";"1";"2011";"";
"114793595";"02";"ECOLOGIA - NATAL - MT - BACHARELADO";"2000121";"ECOLOGIA";"8";"8";"14";"";"";"";"137";"2845";"300";"145";"240";"2055";"137";"345";"8";"20";"36";"15";"";"0";"1";"2016";"";
"114795355";"02";"ECOLOGIA - NATAL - N - BACHARELADO";"2000121";"ECOLOGIA";"8";"8";"14";"";"";"";"137";"2845";"300";"145";"240";"2055";"137";"345";"8";"20";"36";"15";"";"0";"1";"2016";"";
"140098";"02";"";"315763";"DOUTORADO EM GEODINÂMICA E GEOFÍSICA";"24";"48";"54";"24";"48";"54";"40";"600";"510";"";"240";"90";"6";"0";"1";"12";"24";"1";"0";"";"1";"2004";"";
"105572856";"DTUR-1";"";"104910434";"DOUTORADO EM TURISMO";"24";"48";"60";"24";"48";"60";"36";"540";"420";"";"0";"120";"8";"0";"1";"16";"32";"0";"";"";"2";"2014";"";
"24997720";"03";"CIÊNCIAS ECONÔMICAS - NATAL - N - BACHARELADO";"2000014";"CIÊNCIAS ECONÔMICAS";"10";"10";"15";"";"";"";"144";"3000";"540";"0";"240";"2160";"144";"300";"1";"20";"28";"15";"";"0";"1";"2010";"";
"116379316";"DT2016";"";"115845494";"DOUTORADO EM BIOINFORMÁTICA";"24";"48";"54";"24";"48";"54";"26";"540";"390";"";"0";"150";"0";"0";"1";"12";"16";"1";"";"";"1";"2016";"";
"115845500";"Mbif001";"";"115845492";"MESTRADO EM BIOINFORMÁTICA";"12";"24";"30";"12";"24";"30";"12";"360";"180";"";"0";"180";"0";"0";"1";"12";"16";"0";"";"";"1";"2016";"";
"108222242";"03";"FILOSOFIA - NATAL - N - BACHARELADO";"2000040";"FILOSOFIA";"8";"8";"12";"";"";"";"60";"2400";"1260";"120";"240";"900";"60";"120";"4";"20";"28";"60";"";"0";"1";"2015";"";
"506651401";"03A";"FÍSICA - NATAL - N - LICENCIATURA";"111635050";"FÍSICA";"9";"9";"14";"";"";"";"140";"2805";"95";"0";"240";"2100";"140";"610";"2";"20";"36";"30";"";"0";"1";"2011";"";
"505612070";"04A";"DIREITO - NATAL - M - BACHARELADO";"2000018";"DIREITO";"10";"10";"16";"";"";"";"180";"3700";"435";"0";"240";"2700";"180";"565";"4";"24";"26";"60";"";"0";"2";"2010";"";
"24798170";"03";"CIÊNCIAS ECONÔMICAS - NATAL - M - BACHARELADO";"2000014";"CIÊNCIAS ECONÔMICAS";"10";"10";"15";"";"";"";"144";"3000";"540";"0";"240";"2160";"144";"300";"1";"20";"28";"15";"";"0";"2";"2010";"";
"98085930";"03D";"CIÊNCIAS SOCIAIS - NATAL - N - LICENCIATURA";"111635038";"CIÊNCIAS SOCIAIS";"8";"8";"14";"";"";"";"120";"2860";"300";"";"240";"1800";"120";"760";"2";"20";"32";"2";"";"";"1";"2013";"";
"119515799";"02B";"LETRAS - FRANCÊS - NATAL - M";"118836561";"LETRAS - FRANCÊS";"8";"8";"12";"";"";"";"124";"2820";"360";"200";"240";"1860";"124";"400";"";"";"";"15";"";"0";"2";"2016";"";
"9051720";"04C";"PSICOLOGIA - NATAL - MT - FORMAÇÃO";"2000066";"PSICOLOGIA";"10";"10";"16";"";"";"";"46";"3995";"300";"200";"240";"2385";"46";"1110";"1";"98";"99";"15";"";"0";"1";"2009";"";
"140071";"01";"";"315788";"DOUTORADO EM BIOTECNOLOGIA";"24";"48";"60";"24";"48";"60";"14";"210";"0";"";"240";"210";"14";"0";"1";"8";"20";"1";"0";"";"2";"2006";"Migrados do Ponto@. Pelo fato de aparecer como currículo duplicado, no sigaa, ele foi desativado";
"98708475";"2C";"HISTÓRIA - NATAL - M - LICENCIATURA";"111635057";"HISTÓRIA";"9";"9";"14";"";"";"";"108";"2820";"600";"0";"240";"1620";"108";"600";"4";"20";"32";"240";"";"0";"2";"2013";"";
"98743742";"01B";"MÚSICA - NATAL - N - LICENCIATURA";"111635069";"MÚSICA";"6";"8";"10";"";"";"";"76";"2930";"690";"0";"240";"1140";"76";"1100";"2";"20";"99";"30";"";"0";"1";"2009";"";
"121601534";"TXT17";"";"121507754";"MESTRADO EM ENGENHARIA TÊXTIL";"12";"24";"30";"12";"24";"30";"24";"360";"120";"";"0";"240";"16";"0";"";"";"";"0";"";"";"1";"2017";"";
"90518958";"CIG0507";"";"5036028";"RESIDÊNCIA MÉDICA EM CIRURGIA GERAL";"6";"6";"6";"";"";"";"0";"2880";"0";"";"0";"0";"0";"2880";"";"";"";"0";"";"";"1";"2012";"";
"90529441";"CIG508";"";"5036028";"RESIDÊNCIA MÉDICA EM CIRURGIA GERAL";"6";"6";"6";"";"";"";"0";"1728";"0";"";"0";"0";"0";"1728";"";"";"";"0";"";"";"1";"2011";"";
"90529452";"CIG0501";"";"5036028";"RESIDÊNCIA MÉDICA EM CIRURGIA GERAL";"6";"6";"6";"";"";"";"0";"1728";"0";"";"0";"0";"0";"1728";"";"";"";"0";"";"";"2";"2011";"";
"90529534";"CIG0508";"";"5036028";"RESIDÊNCIA MÉDICA EM CIRURGIA GERAL";"6";"6";"6";"";"";"";"0";"1728";"0";"";"0";"0";"0";"1728";"";"";"";"0";"";"";"1";"2012";"";
"91085470";"CIR501";"";"88337492";"RESIDÊNCIA MÉDICA EM CIRURGIA VIDEOLAPAROSCÓPICA";"12";"12";"12";"";"";"";"0";"2880";"2880";"";"0";"0";"0";"0";"";"";"";"2880";"";"";"1";"2005";"";
"91286182";"PDT0001";"";"5036034";"RESIDÊNCIA MÉDICA EM PEDIATRIA";"24";"24";"30";"";"";"";"0";"5760";"0";"";"0";"0";"0";"5760";"";"";"";"2880";"";"";"1";"1974";"";
"98709068";"2B";"HISTÓRIA - NATAL - N - LICENCIATURA";"111635057";"HISTÓRIA";"9";"9";"14";"";"";"";"108";"2820";"600";"0";"240";"1620";"108";"600";"4";"20";"32";"60";"";"0";"2";"2013";"";
"7046170";"01";"DESIGN - NATAL - MT - BACHARELADO";"6992521";"DESIGN";"9";"9";"13";"";"";"";"146";"2690";"300";"0";"240";"2190";"146";"200";"12";"24";"28";"180";"";"0";"2";"2009";"";
"118229733";"ep2016";"";"5036032";"RESIDÊNCIA MÉDICA EM ENDOCRINOLOGIA PEDIÁTRICA";"24";"24";"24";"";"";"";"0";"240";"2880";"350";"0";"225";"0";"2670";"";"";"";"100";"";"";"1";"2016";"";
"116734737";"CARDIO";"";"116724070";"RESIDÊNCIA EM CARDIOLOGIA/RESCARD/HUOL";"24";"24";"30";"";"";"";"0";"1152";"322";"";"0";"830";"0";"0";"";"";"";"0";"";"";"1";"2016";"";
"91498572";"I";"";"5036029";"RESIDÊNCIA MÉDICA EM CLÍNICA MÉDICA";"6";"6";"6";"";"";"";"0";"1440";"0";"";"0";"0";"0";"1440";"";"";"";"0";"";"";"1";"2011";"";
"91498785";"II";"";"5036029";"RESIDÊNCIA MÉDICA EM CLÍNICA MÉDICA";"6";"6";"6";"";"";"";"0";"1440";"0";"";"0";"0";"0";"1440";"";"";"";"0";"";"";"2";"2011";"";
"91500065";"III";"";"5036029";"RESIDÊNCIA MÉDICA EM CLÍNICA MÉDICA";"6";"6";"6";"";"";"";"0";"1440";"0";"";"0";"0";"0";"1440";"";"";"";"0";"";"";"1";"2012";"";
"91500211";"IV";"";"5036029";"RESIDÊNCIA MÉDICA EM CLÍNICA MÉDICA";"6";"6";"6";"";"";"";"0";"1440";"0";"";"0";"0";"0";"1440";"";"";"";"0";"";"";"2";"2012";"";
"93459870";"RPD0001";"";"93262776";"PROGRAMA DE RESIDÊNCIA MÉDICA EM PEDIATRIA";"6";"6";"6";"";"";"";"0";"265";"60";"";"0";"145";"0";"60";"4";"";"4";"60";"";"";"1";"2006";"";
"95692564";"NCR0002";"";"5036042";"RESIDÊNCIA MÉDICA EM NEUROCIRURGIA";"58";"60";"72";"";"";"";"0";"13875";"300";"";"0";"135";"0";"13440";"72";"84";"96";"1440";"";"";"1";"2008";"";
"98231742";"OFT0001";"";"5036045";"RESIDÊNCIA MÉDICA EM OFTALMOLOGIA";"6";"6";"6";"";"";"";"0";"156";"96";"";"0";"0";"0";"60";"20";"20";"22";"1440";"";"";"1";"2013";"";
"98231785";"OFT0002";"";"5036045";"RESIDÊNCIA MÉDICA EM OFTALMOLOGIA";"6";"6";"6";"";"";"";"0";"96";"96";"";"0";"0";"0";"0";"20";"20";"22";"1440";"";"";"2";"2013";"";
"98231790";"OFT0003";"";"5036045";"RESIDÊNCIA MÉDICA EM OFTALMOLOGIA";"6";"6";"6";"";"";"";"0";"156";"96";"";"0";"0";"0";"60";"20";"20";"22";"1440";"";"";"1";"2013";"";
"98273998";"OTG005";"";"5036046";"RESIDÊNCIA MÉDICA EM OTORRINOLARINGOLOGIA";"1";"1";"6";"";"";"";"0";"60";"0";"";"0";"0";"0";"60";"";"";"";"0";"";"";"1";"2013";"";
"103292410";"RSF";"";"93262777";"PROGRAMA DE RESIDÊNCIA MÉDICA EM MEDICINA DA FAMÍLIA E COMUNIDADE";"24";"24";"24";"";"";"";"0";"877";"307";"";"0";"365";"0";"205";"";"";"";"77";"";"";"1";"2012";"";
"105864929";"enp0010";"";"5036032";"RESIDÊNCIA MÉDICA EM ENDOCRINOLOGIA PEDIÁTRICA";"3";"3";"3";"";"";"";"0";"17";"0";"";"0";"2";"0";"0";"";"";"";"0";"";"";"1";"2010";"";
"103558719";"1";"";"5036040";"RESIDÊNCIA MÉDICA EM MEDICINA DE FAMÍLIA E COMUNIDADE";"24";"24";"24";"";"";"";"0";"34";"0";"";"0";"34";"0";"0";"1";"2";"4";"1260";"";"";"1";"2014";"";
"91849384";"MEG";"";"5036033";"RESIDÊNCIA MÉDICA EM ENDOSCOPIA GINECOLÓGICA";"11";"12";"13";"";"";"";"0";"120";"0";"";"0";"0";"0";"320";"";"";"";"0";"";"";"1";"2012";"";
"106232662";"OFT0004";"";"5036045";"RESIDÊNCIA MÉDICA EM OFTALMOLOGIA";"6";"6";"6";"";"";"";"8";"216";"96";"";"0";"120";"8";"0";"20";"20";"22";"1440";"";"";"2";"2014";"";
"106302120";"ANE0002";"";"5036027";"RESIDÊNCIA MÉDICA EM ANESTESIOLOGIA";"12";"12";"12";"";"";"";"0";"0";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2012";"";
"109727260";"TESTE";"";"5036038";"RESIDÊNCIA MÉDICA EM GINECOLOGIA E OBSTETRÍCIA";"36";"36";"40";"";"";"";"0";"40";"0";"";"0";"0";"0";"40";"";"";"";"0";"";"";"1";"2015";"";
"116503193";"2016BMF";"";"5036023";"RESIDÊNCIA EM CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS";"36";"36";"48";"";"";"";"20";"9630";"60";"";"0";"380";"20";"1210";"96";"96";"96";"1440";"";"";"1";"2016";"";
"116879919";"AB2016";"";"116724075";"RESIDÊNCIA EM ATENÇÃO BÁSICA/RESATBAS/EMCM";"24";"24";"24";"";"";"";"0";"4165";"0";"";"0";"2203";"0";"1962";"";"";"";"0";"";"";"1";"2016";"";
"116948928";"RMI2016";"";"116724074";"RESIDÊNCIA EM SAÚDE MATERNO-INFANTIL/RESSMI/EMCM";"24";"24";"24";"";"";"";"0";"4029";"0";"";"0";"2475";"0";"1554";"";"";"";"0";"";"";"1";"2016";"";
"117108458";"MFCEMCM";"";"116724071";"RESIDÊNCIA MÉDICA EM MEDICINA DE FAMÍLIA E COMUNIDADE/RESMMFC/EMCM";"24";"24";"36";"";"";"";"0";"2880";"0";"";"0";"2880";"0";"0";"";"";"";"1440";"";"";"1";"2017";"";
"117116286";"CIREMCM";"";"116724072";"RESIDÊNCIA MÉDICA EM CIRURGIA GERAL/RESCIRG/EMCM";"24";"24";"36";"";"";"";"0";"2880";"0";"";"0";"2880";"0";"0";"";"";"";"1440";"";"";"1";"2016";"";
"118156955";"CG20161";"";"5036028";"RESIDÊNCIA MÉDICA EM CIRURGIA GERAL";"5";"6";"7";"";"";"";"126";"3125";"0";"";"0";"1890";"126";"885";"";"";"";"1440";"";"";"1";"2016";"";
"118835536";"01";"COMUNICAÇÃO SOCIAL- PUBLICIDADE E PROPAGANDA - NATAL - N";"118834827";"COMUNICAÇÃO SOCIAL- PUBLICIDADE E PROPAGANDA";"9";"9";"12";"";"";"";"134";"2780";"420";"250";"240";"2010";"134";"100";"";"";"";"45";"";"0";"1";"2016";"";
"104836701";"01";"MEDICINA - CAICÓ - MTN - FORMAÇÃO";"104831949";"MEDICINA";"12";"12";"18";"";"";"";"0";"7560";"760";"380";"240";"5580";"0";"840";"8";"32";"40";"1";"";"0";"2";"2014";"";
"91635229";"MGO";"";"5036038";"RESIDÊNCIA MÉDICA EM GINECOLOGIA E OBSTETRÍCIA";"35";"36";"37";"";"";"";"0";"165";"0";"";"0";"0";"0";"1180";"";"";"";"0";"";"";"1";"2012";"";
"100669";"01";"COMUNICAÇÃO SOCIAL - NATAL - RADIALISMO - N - BACHARELADO";"2000016";"COMUNICAÇÃO SOCIAL";"8";"9";"14";"";"";"";"151";"2760";"270";"0";"240";"2265";"151";"225";"1";"98";"99";"1";"0";"0";"1";"2002";"";
"100762";"01";"COMUNICAÇÃO SOCIAL - NATAL - RADIALISMO - T - BACHARELADO";"2000016";"COMUNICAÇÃO SOCIAL";"8";"9";"14";"";"";"";"151";"2760";"270";"0";"240";"2265";"151";"225";"1";"98";"99";"1";"0";"0";"1";"2005";"";
"100668";"03";"COMUNICAÇÃO SOCIAL - NATAL - JORNALISMO - N - BACHARELADO";"2000016";"COMUNICAÇÃO SOCIAL";"8";"9";"14";"";"";"";"136";"2715";"450";"0";"240";"2040";"136";"225";"1";"98";"99";"1";"0";"0";"1";"2002";"";
"100761";"03";"COMUNICAÇÃO SOCIAL - NATAL - JORNALISMO - T - BACHARELADO";"2000016";"COMUNICAÇÃO SOCIAL";"8";"9";"14";"";"";"";"136";"2715";"450";"0";"240";"2040";"136";"225";"1";"98";"99";"15";"0";"0";"1";"2005";"";
"118737828";"RMNRL";"";"5036043";"RESIDÊNCIA MÉDICA EM NEUROLOGIA";"33";"36";"42";"";"";"";"0";"7888";"0";"";"0";"0";"0";"7888";"";"";"";"0";"";"";"1";"2016";"";
"122903747";"AB2017";"";"116724075";"RESIDÊNCIA EM ATENÇÃO BÁSICA/RESATBAS/EMCM";"24";"24";"30";"";"";"";"0";"4225";"0";"";"0";"2113";"0";"2112";"";"";"";"0";"";"";"1";"2017";"";
"122908758";"ami15";"";"5036021";"RESIDÊNCIA EM ASSISTÊNCIA MATERNO-INFANTIL";"24";"24";"24";"";"";"";"0";"5670";"210";"";"0";"687";"0";"4773";"";"";"";"60";"";"";"1";"2015";"";
"509953430";"ASC0200";"";"5036022";"RESIDÊNCIA EM ATENÇÃO À SAÚDE DA CRIANÇA";"24";"24";"30";"";"";"";"0";"5640";"322";"";"0";"710";"0";"4608";"";"";"";"0";"";"";"1";"2014";"";
"122949576";"RMI2017";"";"116724074";"RESIDÊNCIA EM SAÚDE MATERNO-INFANTIL/RESSMI/EMCM";"24";"24";"24";"";"";"";"0";"1295";"0";"";"0";"1015";"0";"252";"";"";"";"0";"";"";"1";"2017";"";
"118738304";"neo";"";"5036041";"RESIDÊNCIA MÉDICA EM NEONATOLOGIA";"24";"24";"36";"";"";"";"0";"165";"240";"";"0";"0";"0";"480";"";"";"";"2880";"";"";"1";"1983";"";
"118568790";"PAT0123";"";"5048042";"RESIDÊNCIA MÉDICA EM PATOLOGIA";"36";"36";"36";"";"";"";"0";"3492";"576";"";"0";"1260";"0";"4695";"";"";"";"2880";"";"";"1";"2015";"";
"122877028";"TIN05";"";"5036025";"RESIDÊNCIA EM TERAPIA INTENSIVA NEONATAL";"24";"24";"28";"";"";"";"0";"2136";"0";"";"0";"750";"0";"4348";"";"";"";"0";"";"";"1";"2017";"";
